Objects
100
,,Global Angle cup:cup,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
160,0,0.003680,-0.004471,-0.002934,-68.407532,9.162313,480.169708
161,0,0.003684,-0.004507,-0.002975,-68.407204,9.152034,480.161591
162,0,0.003683,-0.004446,-0.003213,-68.408913,9.149214,480.159058
163,0,0.003517,-0.004538,-0.002943,-68.410187,9.149160,480.161865
164,0,0.003642,-0.004462,-0.003046,-68.413368,9.156955,480.163422
165,0,0.003646,-0.004468,-0.002816,-68.411896,9.149089,480.159363
166,0,0.003644,-0.004480,-0.002941,-68.413307,9.153962,480.166077
167,0,0.003686,-0.004443,-0.003005,-68.413635,9.151909,480.168274
168,0,0.003717,-0.004539,-0.003048,-68.417542,9.151241,480.162170
169,0,0.003595,-0.004491,-0.003149,-68.420998,9.143962,480.170288
170,0,0.003592,-0.004583,-0.002928,-68.419525,9.149778,480.166382
171,0,0.003588,-0.004513,-0.003048,-68.424232,9.143883,480.167511
172,0,0.003604,-0.004540,-0.003108,-68.428017,9.159314,480.153107
173,0,0.003565,-0.004630,-0.003020,-68.420982,9.154059,480.168579
174,0,0.003493,-0.004548,-0.003000,-68.424446,9.145226,480.180695
175,0,0.003678,-0.004513,-0.002941,-68.419273,9.151600,480.180450
176,0,0.003617,-0.004459,-0.002902,-68.418617,9.147770,480.166748
177,0,0.003743,-0.004510,-0.002861,-68.411819,9.157465,480.162201
178,0,0.003570,-0.004495,-0.002916,-68.418533,9.155766,480.169739
179,0,0.003535,-0.004515,-0.002762,-68.418465,9.169296,480.168945
180,0,0.003601,-0.004558,-0.002864,-68.412102,9.161629,480.159058
181,0,0.003659,-0.004552,-0.002957,-68.404121,9.149103,480.151978
182,0,0.003746,-0.004474,-0.002940,-68.398796,9.162941,480.148224
183,0,0.003643,-0.004515,-0.002773,-68.405754,9.168645,480.154053
184,0,0.003629,-0.004422,-0.002761,-68.407219,9.161924,480.164124
185,0,0.003625,-0.004401,-0.002833,-68.408623,9.150835,480.174957
186,0,0.003742,-0.004487,-0.002821,-68.400391,9.148119,480.177032
187,0,0.003664,-0.004545,-0.002918,-68.395935,9.151542,480.166779
188,0,0.003642,-0.004441,-0.002754,-68.404938,9.162498,480.169739
189,0,0.003548,-0.004509,-0.002593,-68.403076,9.161985,480.152985
190,0,0.003711,-0.004457,-0.002946,-68.410324,9.154071,480.157288
191,0,0.003459,-0.004530,-0.002847,-68.403252,9.138659,480.170471
192,0,0.003563,-0.004483,-0.002898,-68.405472,9.144710,480.176575
193,0,0.003603,-0.004459,-0.003018,-68.406418,9.146002,480.173370
194,0,0.003760,-0.004500,-0.002838,-68.399872,9.159543,480.163666
195,0,0.003647,-0.004406,-0.002952,-68.410545,9.155167,480.162964
196,0,0.003543,-0.004483,-0.003003,-68.410904,9.152163,480.166473
197,0,0.003693,-0.004564,-0.002791,-68.404587,9.153054,480.165405
198,0,0.003677,-0.004410,-0.003084,-68.413506,9.142518,480.172882
199,0,0.003652,-0.004523,-0.002911,-68.407295,9.151427,480.174164
200,0,0.003657,-0.004519,-0.002966,-68.398766,9.157413,480.157440
201,0,0.003537,-0.004519,-0.002956,-68.401329,9.157842,480.162109
202,0,0.003634,-0.004457,-0.003026,-68.413322,9.148887,480.170441
203,0,0.003537,-0.004486,-0.002873,-68.411354,9.148151,480.165436
204,0,0.003682,-0.004398,-0.002918,-68.411110,9.162114,480.157471
205,0,0.003731,-0.004428,-0.002966,-68.415245,9.151149,480.154114
206,0,0.003620,-0.004600,-0.002921,-68.405952,9.151042,480.166748
207,0,0.003729,-0.004520,-0.002999,-68.410347,9.161371,480.168884
208,0,0.003692,-0.004522,-0.003063,-68.406082,9.151718,480.169830
209,0,0.003687,-0.004619,-0.002848,-68.406410,9.143770,480.159149
210,0,0.003636,-0.004583,-0.002817,-68.410591,9.145419,480.159515
211,0,0.003685,-0.004587,-0.003080,-68.406265,9.156273,480.162628
212,0,0.003642,-0.004581,-0.002922,-68.404648,9.153078,480.163208
213,0,0.003666,-0.004431,-0.002857,-68.411438,9.146374,480.150085
214,0,0.003669,-0.004523,-0.002739,-68.406555,9.151466,480.149231
215,0,0.003653,-0.004456,-0.002740,-68.407959,9.153592,480.168121
216,0,0.003824,-0.004519,-0.003107,-68.398781,9.162055,480.170715
217,0,0.003735,-0.004492,-0.002738,-68.402901,9.156101,480.168243
218,0,0.003748,-0.004535,-0.002893,-68.403503,9.157280,480.156738
219,0,0.003774,-0.004519,-0.002867,-68.406883,9.152656,480.150146
220,0,0.003707,-0.004517,-0.002793,-68.406166,9.161863,480.152832
221,0,0.003623,-0.004524,-0.002942,-68.409714,9.154990,480.149658
222,0,0.003597,-0.004444,-0.002780,-68.407852,9.149986,480.162415
223,0,0.003563,-0.004474,-0.002728,-68.407036,9.143621,480.163300
224,0,0.003581,-0.004521,-0.002772,-68.404396,9.148235,480.156525
225,0,0.003616,-0.004472,-0.002908,-68.409775,9.154332,480.163818
226,0,0.003597,-0.004441,-0.002633,-68.410469,9.156594,480.177032
227,0,0.003782,-0.004384,-0.002942,-68.417053,9.153542,480.171936
228,0,0.003637,-0.004465,-0.002965,-68.405815,9.147571,480.163391
229,0,0.003566,-0.004462,-0.002746,-68.405693,9.151458,480.149048
230,0,0.003656,-0.004540,-0.002850,-68.411392,9.160863,480.147675
231,0,0.003599,-0.004494,-0.002888,-68.407768,9.163869,480.154449
232,0,0.003567,-0.004515,-0.003009,-68.405769,9.150381,480.172577
233,0,0.003558,-0.004443,-0.002947,-68.410454,9.135119,480.162079
234,0,0.003611,-0.004502,-0.002922,-68.404549,9.158027,480.156677
235,0,0.003754,-0.004390,-0.002866,-68.412895,9.173969,480.164337
236,0,0.003605,-0.004551,-0.002814,-68.416992,9.154792,480.167786
237,0,0.003587,-0.004584,-0.002988,-68.409279,9.149935,480.164368
238,0,0.003579,-0.004569,-0.002858,-68.417709,9.151821,480.170685
239,0,0.003539,-0.004635,-0.002812,-68.413445,9.153405,480.169312
240,0,0.003578,-0.004527,-0.002853,-68.411560,9.157086,480.157837
241,0,0.003600,-0.004547,-0.003006,-68.411980,9.162194,480.150085
242,0,0.003779,-0.004510,-0.002855,-68.414276,9.157911,480.156403
243,0,0.003644,-0.004494,-0.002969,-68.409866,9.148592,480.168732
244,0,0.003642,-0.004569,-0.002817,-68.405365,9.154206,480.166260
245,0,0.003748,-0.004483,-0.002902,-68.411118,9.165490,480.159088
246,0,0.003635,-0.004518,-0.002988,-68.415741,9.160064,480.164581
247,0,0.003783,-0.004483,-0.002850,-68.414810,9.158847,480.161682
248,0,0.003722,-0.004402,-0.002756,-68.410660,9.158670,480.152679
249,0,0.003499,-0.004365,-0.002896,-68.419250,9.151876,480.159637
250,0,0.003717,-0.004528,-0.002694,-68.415756,9.161134,480.157288
251,0,0.003686,-0.004583,-0.002740,-68.416931,9.165868,480.159302
252,0,0.003639,-0.004554,-0.002966,-68.413322,9.155350,480.163422
253,0,0.003714,-0.004365,-0.002851,-68.406952,9.145521,480.163879
254,0,0.003597,-0.004464,-0.002899,-68.409630,9.156533,480.168152
255,0,0.003581,-0.004474,-0.002737,-68.411743,9.157255,480.167419
256,0,0.003605,-0.004488,-0.002933,-68.412262,9.156019,480.166473
257,0,0.003747,-0.004462,-0.002907,-68.413956,9.144943,480.161407
258,0,0.003592,-0.004477,-0.002814,-68.409554,9.148081,480.161469
259,0,0.003592,-0.004507,-0.002751,-68.406647,9.160750,480.169556
260,0,0.003684,-0.004469,-0.002733,-68.405312,9.151093,480.164703
261,0,0.003759,-0.004467,-0.002966,-68.409447,9.152966,480.162262
262,0,0.003621,-0.004592,-0.002990,-68.414894,9.148583,480.158875
263,0,0.003739,-0.004502,-0.003046,-68.416985,9.153640,480.163483
264,0,0.003682,-0.004390,-0.002909,-68.418030,9.159272,480.161102
265,0,0.003598,-0.004393,-0.002714,-68.405373,9.150253,480.162109
266,0,0.003641,-0.004416,-0.002946,-68.409447,9.147041,480.167419
267,0,0.003604,-0.004518,-0.002869,-68.416176,9.144158,480.168701
268,0,0.003683,-0.004568,-0.003079,-68.413483,9.153344,480.156860
269,0,0.003630,-0.004491,-0.002791,-68.417542,9.153070,480.161102
270,0,0.003610,-0.004561,-0.003050,-68.415146,9.154090,480.169556
271,0,0.003571,-0.004599,-0.002811,-68.417671,9.144040,480.173889
272,0,0.003664,-0.004566,-0.002882,-68.409958,9.144881,480.153931
273,0,0.003734,-0.004568,-0.002959,-68.416794,9.145465,480.157043
274,0,0.003664,-0.004517,-0.002900,-68.416908,9.149360,480.158417
275,0,0.003594,-0.004443,-0.002803,-68.412598,9.154813,480.164246
276,0,0.003625,-0.004353,-0.002985,-68.410179,9.140823,480.162659
277,0,0.003770,-0.004592,-0.002858,-68.403496,9.138689,480.163330
278,0,0.003605,-0.004538,-0.003035,-68.412033,9.148966,480.164307
279,0,0.003557,-0.004516,-0.002805,-68.409973,9.155788,480.173737
280,0,0.003477,-0.004506,-0.002768,-68.409081,9.147454,480.169342
281,0,0.003658,-0.004375,-0.002781,-68.404243,9.147465,480.162018
282,0,0.003651,-0.004577,-0.002918,-68.395653,9.153795,480.169922
283,0,0.003579,-0.004596,-0.002936,-68.401947,9.149620,480.182129
284,0,0.003710,-0.004603,-0.003031,-68.405952,9.151522,480.177002
285,0,0.003580,-0.004560,-0.002967,-68.401627,9.142945,480.158661
286,0,0.003691,-0.004595,-0.002867,-68.403305,9.148436,480.162231
287,0,0.003673,-0.004550,-0.003112,-68.405975,9.150278,480.167786
288,0,0.003788,-0.004571,-0.002906,-68.401779,9.160174,480.173248
289,0,0.003690,-0.004465,-0.003008,-68.416077,9.159104,480.161865
290,0,0.003667,-0.004559,-0.002855,-68.406937,9.151139,480.158630
291,0,0.003499,-0.004457,-0.003073,-68.410110,9.144019,480.164124
292,0,0.003673,-0.004439,-0.002998,-68.410919,9.145641,480.161346
293,0,0.003617,-0.004465,-0.002876,-68.412468,9.158366,480.156433
294,0,0.003746,-0.004466,-0.002917,-68.413315,9.155122,480.153290
295,0,0.003669,-0.004610,-0.002958,-68.411095,9.151023,480.148071
296,0,0.003701,-0.004600,-0.002961,-68.408615,9.142562,480.157288
297,0,0.003662,-0.004459,-0.002832,-68.412674,9.142338,480.156769
298,0,0.002813,-0.004785,-0.000638,-68.338783,9.202734,480.226746
299,0,0.002965,-0.004691,-0.000775,-68.341660,9.210517,480.218414
300,0,0.002893,-0.004808,-0.000707,-68.333374,9.206850,480.216461
301,0,0.002917,-0.004626,-0.000713,-68.334229,9.195169,480.212463
302,0,0.002997,-0.004768,-0.000627,-68.329720,9.210898,480.219849
303,0,0.002769,-0.004771,-0.000438,-68.327995,9.216125,480.216431
304,0,0.002770,-0.004748,-0.000533,-68.324631,9.213258,480.218475
305,0,0.003740,-0.004596,-0.002924,-68.407593,9.155061,480.156586
306,0,0.003738,-0.004546,-0.002950,-68.406410,9.154526,480.153381
307,0,0.003735,-0.004485,-0.002892,-68.406738,9.165715,480.171051
308,0,0.003609,-0.004506,-0.002779,-68.400887,9.150662,480.172028
309,0,0.003796,-0.004441,-0.002924,-68.402969,9.155520,480.162537
310,0,0.003812,-0.004596,-0.003017,-68.399719,9.157545,480.165680
311,0,0.003646,-0.004350,-0.002969,-68.410515,9.154262,480.163727
312,0,0.003739,-0.004485,-0.002820,-68.408768,9.159436,480.163269
313,0,0.003710,-0.004563,-0.002981,-68.405983,9.156413,480.157440
314,0,0.003732,-0.004512,-0.002863,-68.399605,9.148498,480.157501
315,0,0.003637,-0.004521,-0.002947,-68.406387,9.157471,480.150940
316,0,0.003638,-0.004596,-0.002693,-68.401794,9.161264,480.149597
317,0,0.003810,-0.004525,-0.002829,-68.399590,9.164478,480.164734
318,0,0.003556,-0.004436,-0.002847,-68.400063,9.161407,480.170959
319,0,0.003677,-0.004463,-0.002799,-68.407471,9.162605,480.163696
320,0,0.003565,-0.004482,-0.002797,-68.408508,9.165467,480.155670
321,0,0.003711,-0.004530,-0.002802,-68.409714,9.159529,480.156708
322,0,0.003669,-0.004518,-0.002908,-68.412300,9.158894,480.165588
323,0,0.003683,-0.004484,-0.002821,-68.411034,9.155134,480.153564
324,0,0.003653,-0.004525,-0.002847,-68.410591,9.156219,480.149811
325,0,0.003731,-0.004526,-0.002844,-68.401176,9.163054,480.152496
326,0,0.003654,-0.004601,-0.002708,-68.402252,9.162850,480.167023
327,0,0.003566,-0.004491,-0.002590,-68.395386,9.161826,480.169403
328,0,0.003552,-0.004363,-0.002668,-68.392029,9.149934,480.165253
329,0,0.003756,-0.004543,-0.002711,-68.394005,9.150559,480.158112
330,0,0.003691,-0.004384,-0.002702,-68.407982,9.163212,480.163147
331,0,0.003608,-0.004601,-0.002815,-68.401566,9.168697,480.163422
332,0,0.003706,-0.004463,-0.002765,-68.407883,9.156048,480.157196
333,0,0.003662,-0.004454,-0.002794,-68.403961,9.152404,480.146942
334,0,0.003707,-0.004477,-0.002993,-68.405693,9.159084,480.157562
335,0,0.003659,-0.004412,-0.003032,-68.407791,9.158799,480.166046
336,0,0.003723,-0.004571,-0.003056,-68.404785,9.155545,480.165405
337,0,0.003681,-0.004476,-0.002840,-68.397751,9.154755,480.160126
338,0,0.003465,-0.004455,-0.002803,-68.402267,9.144534,480.166199
339,0,0.003785,-0.004441,-0.002882,-68.402107,9.151855,480.167236
340,0,0.003642,-0.004458,-0.002978,-68.404343,9.157122,480.152893
341,0,0.003666,-0.004531,-0.002764,-68.400612,9.159158,480.160858
342,0,0.003594,-0.004505,-0.002858,-68.405434,9.160141,480.176117
343,0,0.003648,-0.004523,-0.002813,-68.404953,9.152257,480.170746
344,0,0.003645,-0.004507,-0.002548,-68.403625,9.152810,480.153198
345,0,0.003582,-0.004422,-0.002561,-68.407318,9.155679,480.153229
346,0,0.003788,-0.004479,-0.002678,-68.418243,9.161635,480.159943
347,0,0.003772,-0.004429,-0.002737,-68.415871,9.162472,480.166351
348,0,0.003672,-0.004470,-0.002892,-68.415131,9.155556,480.168060
349,0,0.003708,-0.004510,-0.002814,-68.407425,9.148732,480.157532
350,0,0.003721,-0.004525,-0.002598,-68.411949,9.158553,480.157104
351,0,0.003638,-0.004502,-0.002778,-68.414864,9.165361,480.157074
352,0,0.003547,-0.004537,-0.002750,-68.410881,9.154665,480.163727
353,0,0.003749,-0.004489,-0.002874,-68.405922,9.151700,480.161835
354,0,0.003722,-0.004714,-0.002938,-68.409973,9.155445,480.159363
355,0,0.003719,-0.004474,-0.002748,-68.410538,9.162528,480.168762
356,0,0.003627,-0.004505,-0.002685,-68.404778,9.161941,480.165100
357,0,0.003633,-0.004392,-0.002756,-68.403877,9.155230,480.165833
358,0,0.003650,-0.004567,-0.003001,-68.406158,9.154757,480.166840
359,0,0.003596,-0.004530,-0.002935,-68.400436,9.157209,480.169159
360,0,0.003707,-0.004517,-0.002851,-68.406601,9.162553,480.172241
361,0,0.003573,-0.004435,-0.002744,-68.400818,9.168754,480.157806
362,0,0.003783,-0.004547,-0.002902,-68.407288,9.161394,480.160828
363,0,0.003719,-0.004467,-0.002925,-68.407974,9.153728,480.160522
364,0,0.003696,-0.004512,-0.003020,-68.409332,9.150476,480.164093
